Area,VSLNationalCur,VSL_EUR
average WHO European Region,,2601526
average EU27,,3594902
average EU28,,3577657
Albania,79955379,571343
Armenia,272369851,493589
Austria,4866900,4866900
Azerbaijan,596094,572825
Belarus,8166488119,602042
Belgium,4572340,4572340
Bosnia and Herzegovina,1153041,589541
Bulgaria,1746177,892798
Croatia,11634959,1525640
Cyprus,2583016,2583016
Czech Republic,57908519,2102731
Denmark,42585037,5718994
Estonia,2006236,2006236
Finland,4678824,4678824
France,4154482,4154482
Georgia,1019976,435409
Germany,4526204,4526204
Greece,2449747,2449747
Hungary,492398296,1595586
Iceland,794732414,5129982
Ireland,5404877,5404877
Israel,17003464,3581975
Italy,3507081,3507081
Kazakhstan,150281868,632128
Kyrgyz Republic,10728875,150719
Latvia,1603033,1603033
Lithuania,1715100,1715100
Luxembourg,8781196,8781196
Malta,2231725,2231725
Montenegro,817095,817096
Netherlands,4868474,4868474
Norway,60712902,7261761
Poland,6576090,1571259
Portugal,2337256,2337256
Moldova,4628179,248539
Romania,4309562,969866
Russian Federation,62331647,1224166
Serbia,89162931,760190
Slovak Republic,2172125,2172125
Slovenia,2531254,2531254
Spain,3282126,3282126
Sweden,46709851,5131579
Switzerland,8982283,7389857
Tajikistan,738513,112800
"Macedonia, FYR",38061048,617777
Turkey,3740462,1288210
Ukraine,3914346,248208
United Kingdom,3562507,4418366
